iter	RMSE
0	1440.166969
1	1291.255563
2	1198.924282
3	1144.482651
4	1110.129507
5	1089.805975
6	1081.087025
7	1073.836304
8	1068.198084
9	1065.373614
10	1062.659151
11	1058.995076
12	1058.265137
13	1057.598364
14	1056.433749
15	1055.833948
16	1054.293728
17	1053.881495
18	1052.597412
19	1051.389475
20	1051.043535
21	1050.562452
22	1049.230567
23	1048.563068
24	1048.329124
25	1048.111733
26	1047.439584
27	1046.687102
28	1045.612202
29	1045.612202
30	1045.55008
31	1045.013004
32	1044.48055
33	1042.007161
34	1039.889932
35	1038.866293
36	1038.768558
37	1037.211951
38	1035.544263
39	1034.852714
40	1033.818525
41	1033.290587
42	1031.905905
43	1031.609024
44	1029.252435
45	1026.589735
46	1024.04085
47	1022.482604
48	1022.094757
49	1021.411934
50	1020.217057
51	1018.59243
52	1018.16175
53	1018.108998
54	1015.907876
55	1013.883574
56	1012.615955
57	1011.151616
58	1009.035285
59	1008.288308
60	1005.591707
61	1004.257916
62	1003.067939
63	1002.706937
64	1001.218104
65	1000.789865
66	1000.582324
67	1000.301757
68	998.2613011
69	997.6249864
70	997.3898839
71	995.7170259
72	991.8772097
73	990.886203
74	989.1721659
75	987.8975966
76	986.3344857
77	983.6952129
78	982.3690148
79	981.457048
80	979.9775976
81	979.0891979
82	978.1854615
83	976.5829427
84	975.991395
85	973.4145243
86	972.9316639
87	971.784822
88	970.7068763
89	968.8290713
90	968.5949896
91	968.0168865
92	967.2917001
93	965.8404375
94	965.2529603
95	962.6259321
96	960.8654731
97	960.2195263
98	959.7017859
99	958.9895992
