iter	Passed	Remaining
0	61	6088
1	119	5870
2	168	5438
3	211	5083
4	268	5093
5	315	4942
6	370	4917
7	429	4941
8	487	4932
9	553	4977
10	608	4921
11	661	4848
12	717	4804
13	762	4685
14	831	4711
15	940	4936
16	1055	5155
17	1154	5260
18	1272	5424
19	1358	5432
20	1500	5645
21	1588	5630
22	1679	5623
23	1799	5699
24	1891	5675
25	1958	5575
26	2125	5746
27	2340	6018
28	2480	6072
29	2562	5979
30	2692	5992
31	2836	6027
32	3010	6111
33	3157	6128
34	3297	6124
35	3387	6021
36	3457	5887
37	3539	5774
38	3625	5669
39	3770	5655
40	3844	5531
41	3919	5413
42	3982	5278
43	4051	5156
44	4134	5053
45	4234	4971
46	4320	4872
47	4469	4842
48	4549	4735
49	4624	4624
50	4743	4557
51	4828	4457
52	4889	4335
53	4952	4219
54	5094	4168
55	5191	4078
56	5292	3992
57	5435	3935
58	5578	3876
59	5677	3784
60	5779	3695
61	5837	3577
62	5893	3461
63	5954	3349
64	6013	3238
65	6069	3126
66	6124	3016
67	6185	2910
68	6246	2806
69	6300	2700
70	6365	2599
71	6441	2504
72	6500	2404
73	6557	2304
74	6613	2204
75	6681	2109
76	6736	2012
77	6793	1916
78	6856	1822
79	6915	1728
80	6971	1635
81	7029	1542
82	7083	1450
83	7147	1361
84	7208	1272
85	7265	1182
86	7330	1095
87	7430	1013
88	7505	927
89	7560	840
90	7621	753
91	7678	667
92	7732	582
93	7793	497
94	7856	413
95	7910	329
96	7966	246
97	8025	163
98	8085	81
99	8140	0
